hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
62,14,2,Threshold Charger,V0,work,False,0.9578,IDLE,0.0,0.85,0.0
63,15,2,Threshold Charger,V0,work,False,0.9578,IDLE,0.0,0.85,0.0
64,16,2,Threshold Charger,V0,driving,False,0.9157,DRIVING,0.0,0.85,0.0
65,17,2,Threshold Charger,V0,home,True,0.9958,CHARGE,5.059,1.69,8.5498
66,18,2,Threshold Charger,V0,home,True,0.9998,CHARGE,0.253,1.69,0.4275
67,19,2,Threshold Charger,V0,home,True,1.0,CHARGE,0.0126,1.69,0.0214
68,20,2,Threshold Charger,V0,home,True,1.0,CHARGE,0.0006,1.69,0.0011
69,21,2,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0001
70,22,2,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0
71,23,2,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
72,0,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
73,1,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
74,2,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
75,3,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
76,4,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
77,5,3,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
78,6,3,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
79,7,3,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
80,8,3,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
81,9,3,Threshold Charger,V0,driving,False,0.9415,DRIVING,0.0,0.85,0.0
82,10,3,Threshold Charger,V0,work,False,0.9415,IDLE,0.0,0.85,0.0
83,11,3,Threshold Charger,V0,work,False,0.9415,IDLE,0.0,0.85,0.0
84,12,3,Threshold Charger,V0,work,False,0.9415,IDLE,0.0,0.85,0.0
85,13,3,Threshold Charger,V0,work,False,0.9415,IDLE,0.0,0.85,0.0
86,14,3,Threshold Charger,V0,work,False,0.9415,IDLE,0.0,0.85,0.0
87,15,3,Threshold Charger,V0,work,False,0.9415,IDLE,0.0,0.85,0.0
88,16,3,Threshold Charger,V0,driving,False,0.8829,DRIVING,0.0,0.85,0.0
89,17,3,Threshold Charger,V0,home,True,0.9938,CHARGE,7.0,1.69,11.83
90,18,3,Threshold Charger,V0,home,True,0.9997,CHARGE,0.3733,1.69,0.631
91,19,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0187,1.69,0.0315
92,20,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0009,1.69,0.0016
93,21,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0001
94,22,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0
95,23,3,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
96,0,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
97,1,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
98,2,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
99,3,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
100,4,4,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
101,5,4,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
102,6,4,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
103,7,4,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
104,8,4,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
105,9,4,Threshold Charger,V0,driving,False,0.9536,DRIVING,0.0,0.85,0.0
106,10,4,Threshold Charger,V0,work,False,0.9536,IDLE,0.0,0.85,0.0
107,11,4,Threshold Charger,V0,work,False,0.9536,IDLE,0.0,0.85,0.0
108,12,4,Threshold Charger,V0,work,False,0.9536,IDLE,0.0,0.85,0.0
109,13,4,Threshold Charger,V0,work,False,0.9536,IDLE,0.0,0.85,0.0
