hour,hour_of_day,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
48,0,V2G,home,True,0.7217,CHARGE,7.0,0.1,0.7
49,1,V2G,home,True,0.8325,CHARGE,7.0,0.1,0.7
50,2,V2G,home,True,0.9433,CHARGE,7.0,0.1,0.7
51,3,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
52,4,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
53,5,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
54,6,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
55,7,V2G,home,True,0.9433,IDLE,0.0,0.2,0.0
56,8,V2G,driving,False,0.8833,DRIVING,0.0,0.2,0.0
57,9,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
58,10,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
59,11,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
60,12,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
61,13,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
62,14,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
63,15,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
64,16,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
65,17,V2G,driving,False,0.8233,DRIVING,0.0,0.45,0.0
66,18,V2G,home,True,0.6633,DISCHARGE,-9.12,0.45,-4.104
67,19,V2G,home,True,0.5033,DISCHARGE,-9.12,0.45,-4.104
68,20,V2G,home,True,0.5,DISCHARGE,-0.19,0.45,-0.0855
69,21,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
70,22,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
71,23,V2G,home,True,0.6108,CHARGE,7.0,0.1,0.7
72,0,V2G,home,True,0.7217,CHARGE,7.0,0.1,0.7
73,1,V2G,home,True,0.8325,CHARGE,7.0,0.1,0.7
74,2,V2G,home,True,0.9433,CHARGE,7.0,0.1,0.7
75,3,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
76,4,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
77,5,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
78,6,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
79,7,V2G,home,True,0.9433,IDLE,0.0,0.2,0.0
80,8,V2G,driving,False,0.8833,DRIVING,0.0,0.2,0.0
81,9,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
82,10,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
83,11,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
84,12,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
85,13,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
86,14,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
87,15,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
88,16,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
89,17,V2G,driving,False,0.8233,DRIVING,0.0,0.45,0.0
90,18,V2G,home,True,0.6633,DISCHARGE,-9.12,0.45,-4.104
91,19,V2G,home,True,0.5033,DISCHARGE,-9.12,0.45,-4.104
92,20,V2G,home,True,0.5,DISCHARGE,-0.19,0.45,-0.0855
93,21,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
94,22,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
95,23,V2G,home,True,0.6108,CHARGE,7.0,0.1,0.7
96,0,V2G,home,True,0.7217,CHARGE,7.0,0.1,0.7
97,1,V2G,home,True,0.8325,CHARGE,7.0,0.1,0.7
98,2,V2G,home,True,0.9433,CHARGE,7.0,0.1,0.7
99,3,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
100,4,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
101,5,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
102,6,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
103,7,V2G,home,True,0.9433,IDLE,0.0,0.2,0.0
104,8,V2G,driving,False,0.8833,DRIVING,0.0,0.2,0.0
105,9,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
106,10,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
107,11,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
108,12,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
109,13,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
110,14,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
111,15,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
112,16,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
113,17,V2G,driving,False,0.8233,DRIVING,0.0,0.45,0.0
114,18,V2G,home,True,0.6633,DISCHARGE,-9.12,0.45,-4.104
115,19,V2G,home,True,0.5033,DISCHARGE,-9.12,0.45,-4.104
116,20,V2G,home,True,0.5,DISCHARGE,-0.19,0.45,-0.0855
117,21,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
118,22,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
119,23,V2G,home,True,0.6108,CHARGE,7.0,0.1,0.7
120,0,V2G,home,True,0.7217,CHARGE,7.0,0.1,0.7
121,1,V2G,home,True,0.8325,CHARGE,7.0,0.1,0.7
122,2,V2G,home,True,0.9433,CHARGE,7.0,0.1,0.7
123,3,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
124,4,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
125,5,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
126,6,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
127,7,V2G,home,True,0.9433,IDLE,0.0,0.2,0.0
128,8,V2G,driving,False,0.8833,DRIVING,0.0,0.2,0.0
129,9,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
130,10,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
131,11,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
132,12,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
133,13,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
134,14,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
135,15,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
136,16,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
137,17,V2G,driving,False,0.8233,DRIVING,0.0,0.45,0.0
138,18,V2G,home,True,0.6633,DISCHARGE,-9.12,0.45,-4.104
139,19,V2G,home,True,0.5033,DISCHARGE,-9.12,0.45,-4.104
140,20,V2G,home,True,0.5,DISCHARGE,-0.19,0.45,-0.0855
141,21,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
142,22,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
143,23,V2G,home,True,0.6108,CHARGE,7.0,0.1,0.7
144,0,V2G,home,True,0.7217,CHARGE,7.0,0.1,0.7
145,1,V2G,home,True,0.8325,CHARGE,7.0,0.1,0.7
146,2,V2G,home,True,0.9433,CHARGE,7.0,0.1,0.7
147,3,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
148,4,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
149,5,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
150,6,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
151,7,V2G,home,True,0.9433,IDLE,0.0,0.2,0.0
152,8,V2G,driving,False,0.8833,DRIVING,0.0,0.2,0.0
153,9,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
154,10,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
155,11,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
156,12,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
157,13,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
158,14,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
159,15,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
160,16,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
161,17,V2G,driving,False,0.8233,DRIVING,0.0,0.45,0.0
162,18,V2G,home,True,0.6633,DISCHARGE,-9.12,0.45,-4.104
163,19,V2G,home,True,0.5033,DISCHARGE,-9.12,0.45,-4.104
164,20,V2G,home,True,0.5,DISCHARGE,-0.19,0.45,-0.0855
165,21,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
166,22,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
167,23,V2G,home,True,0.6108,CHARGE,7.0,0.1,0.7
