hour,hour_of_day,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
0,0,V2G,home,True,0.9108,CHARGE,7.0,0.1,0.7
1,1,V2G,home,True,0.9108,IDLE,0.0,0.1,0.0
2,2,V2G,home,True,0.9108,IDLE,0.0,0.1,0.0
3,3,V2G,home,True,0.9108,IDLE,0.0,0.1,0.0
4,4,V2G,home,True,0.9108,IDLE,0.0,0.1,0.0
5,5,V2G,home,True,0.9108,IDLE,0.0,0.1,0.0
6,6,V2G,home,True,0.9108,IDLE,0.0,0.1,0.0
7,7,V2G,home,True,0.9108,IDLE,0.0,0.2,0.0
8,8,V2G,driving,False,0.8508,DRIVING,0.0,0.2,0.0
9,9,V2G,work,False,0.8508,IDLE,0.0,0.2,0.0
10,10,V2G,work,False,0.8508,IDLE,0.0,0.2,0.0
11,11,V2G,work,False,0.8508,IDLE,0.0,0.2,0.0
12,12,V2G,work,False,0.8508,IDLE,0.0,0.2,0.0
13,13,V2G,work,False,0.8508,IDLE,0.0,0.2,0.0
14,14,V2G,work,False,0.8508,IDLE,0.0,0.2,0.0
15,15,V2G,work,False,0.8508,IDLE,0.0,0.2,0.0
16,16,V2G,work,False,0.8508,IDLE,0.0,0.2,0.0
17,17,V2G,driving,False,0.7908,DRIVING,0.0,0.45,0.0
18,18,V2G,home,True,0.6308,DISCHARGE,-9.12,0.45,-4.104
19,19,V2G,home,True,0.5,DISCHARGE,-7.4575,0.45,-3.3559
20,20,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
21,21,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
22,22,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
23,23,V2G,home,True,0.6108,CHARGE,7.0,0.1,0.7
24,0,V2G,home,True,0.7217,CHARGE,7.0,0.1,0.7
25,1,V2G,home,True,0.8325,CHARGE,7.0,0.1,0.7
26,2,V2G,home,True,0.9433,CHARGE,7.0,0.1,0.7
27,3,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
28,4,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
29,5,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
30,6,V2G,home,True,0.9433,IDLE,0.0,0.1,0.0
31,7,V2G,home,True,0.9433,IDLE,0.0,0.2,0.0
32,8,V2G,driving,False,0.8833,DRIVING,0.0,0.2,0.0
33,9,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
34,10,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
35,11,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
36,12,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
37,13,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
38,14,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
39,15,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
40,16,V2G,work,False,0.8833,IDLE,0.0,0.2,0.0
41,17,V2G,driving,False,0.8233,DRIVING,0.0,0.45,0.0
42,18,V2G,home,True,0.6633,DISCHARGE,-9.12,0.45,-4.104
43,19,V2G,home,True,0.5033,DISCHARGE,-9.12,0.45,-4.104
44,20,V2G,home,True,0.5,DISCHARGE,-0.19,0.45,-0.0855
45,21,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
46,22,V2G,home,True,0.5,IDLE,0.0,0.45,0.0
47,23,V2G,home,True,0.6108,CHARGE,7.0,0.1,0.7
