hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
47,23,1,Threshold Charger,V2G,home,True,0.6108,CHARGE,7.0,0.53,3.71
48,0,2,Threshold Charger,V2G,home,True,0.7217,CHARGE,7.0,0.53,3.71
49,1,2,Threshold Charger,V2G,home,True,0.8325,CHARGE,7.0,0.53,3.71
50,2,2,Threshold Charger,V2G,home,True,0.9433,CHARGE,7.0,0.53,3.71
51,3,2,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
52,4,2,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
53,5,2,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
54,6,2,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
55,7,2,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
56,8,2,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
57,9,2,Threshold Charger,V2G,driving,False,0.9012,DRIVING,0.0,0.85,0.0
58,10,2,Threshold Charger,V2G,work,False,0.9012,IDLE,0.0,0.85,0.0
59,11,2,Threshold Charger,V2G,work,False,0.9012,IDLE,0.0,0.85,0.0
60,12,2,Threshold Charger,V2G,work,False,0.9012,IDLE,0.0,0.85,0.0
61,13,2,Threshold Charger,V2G,work,False,0.9012,IDLE,0.0,0.85,0.0
62,14,2,Threshold Charger,V2G,work,False,0.9012,IDLE,0.0,0.85,0.0
63,15,2,Threshold Charger,V2G,work,False,0.9012,IDLE,0.0,0.85,0.0
64,16,2,Threshold Charger,V2G,driving,False,0.859,DRIVING,0.0,0.85,0.0
65,17,2,Threshold Charger,V2G,home,True,0.699,DISCHARGE,-9.12,1.69,-15.4128
66,18,2,Threshold Charger,V2G,home,True,0.539,DISCHARGE,-9.12,1.69,-15.4128
67,19,2,Threshold Charger,V2G,home,True,0.5,DISCHARGE,-2.2239,1.69,-3.7584
68,20,2,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
69,21,2,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
70,22,2,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
71,23,2,Threshold Charger,V2G,home,True,0.6108,CHARGE,7.0,0.53,3.71
72,0,3,Threshold Charger,V2G,home,True,0.7217,CHARGE,7.0,0.53,3.71
73,1,3,Threshold Charger,V2G,home,True,0.8325,CHARGE,7.0,0.53,3.71
74,2,3,Threshold Charger,V2G,home,True,0.9433,CHARGE,7.0,0.53,3.71
75,3,3,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
76,4,3,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
77,5,3,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
78,6,3,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
79,7,3,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
80,8,3,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
81,9,3,Threshold Charger,V2G,driving,False,0.8848,DRIVING,0.0,0.85,0.0
82,10,3,Threshold Charger,V2G,work,False,0.8848,IDLE,0.0,0.85,0.0
83,11,3,Threshold Charger,V2G,work,False,0.8848,IDLE,0.0,0.85,0.0
84,12,3,Threshold Charger,V2G,work,False,0.8848,IDLE,0.0,0.85,0.0
85,13,3,Threshold Charger,V2G,work,False,0.8848,IDLE,0.0,0.85,0.0
86,14,3,Threshold Charger,V2G,work,False,0.8848,IDLE,0.0,0.85,0.0
87,15,3,Threshold Charger,V2G,work,False,0.8848,IDLE,0.0,0.85,0.0
88,16,3,Threshold Charger,V2G,driving,False,0.8263,DRIVING,0.0,0.85,0.0
89,17,3,Threshold Charger,V2G,home,True,0.6663,DISCHARGE,-9.12,1.69,-15.4128
90,18,3,Threshold Charger,V2G,home,True,0.5063,DISCHARGE,-9.12,1.69,-15.4128
91,19,3,Threshold Charger,V2G,home,True,0.5,DISCHARGE,-0.3578,1.69,-0.6047
92,20,3,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
93,21,3,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
94,22,3,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
95,23,3,Threshold Charger,V2G,home,True,0.6108,CHARGE,7.0,0.53,3.71
96,0,4,Threshold Charger,V2G,home,True,0.7217,CHARGE,7.0,0.53,3.71
97,1,4,Threshold Charger,V2G,home,True,0.8325,CHARGE,7.0,0.53,3.71
98,2,4,Threshold Charger,V2G,home,True,0.9433,CHARGE,7.0,0.53,3.71
99,3,4,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
100,4,4,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
101,5,4,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
102,6,4,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
